genome,fitness,behavior_descriptor
[-0.376 -0.661  0.402 -0.189 -0.089  0.824  0.526],0,[-0.376 -0.661  0.402]
"[ 0.1593159  -0.03078114  0.71974579 -0.66202526 -0.39099031 -0.52924657
 -0.21269657]",0,[ 0.159 -0.031  0.72 ]
"[ 0.92776741  0.13492309  0.11700976 -0.56038204 -0.25186936 -0.59573945
 -0.17435569]",0,[0.928 0.135 0.117]
"[-0.42805112  0.91046104 -0.77904462  0.79757888 -0.03499773 -0.11825821
 -0.18210803]",0,[-0.428  0.91  -0.779]
"[ 0.81756422 -0.96552878 -0.17099915  0.26703305 -0.5816706   0.61170442
  0.19927058]",0,[ 0.818 -0.966 -0.171]
"[ 0.21564237  0.95285645  0.71894919 -0.14737137  0.3209705  -0.05203193
  0.86251005]",0,[0.216 0.953 0.719]
"[ 0.51428338 -0.71900475 -0.38130123 -0.46493207  0.05151566  0.55128023
  0.11491567]",0,[ 0.514 -0.719 -0.381]
"[ 0.15824082 -0.75938072  0.31896318  0.10068653  0.29471381 -0.3229583
  0.45754997]",0,[ 0.158 -0.759  0.319]
"[-0.16627915 -0.53476501 -0.94708728  0.56299827 -0.47550913  0.31644482
 -0.11393772]",0,[-0.166 -0.535 -0.947]
"[ 0.94904999 -0.67609926 -0.41123068 -0.56633944 -0.07595211  0.58099461
  0.80631171]",0,[ 0.949 -0.676 -0.411]
"[ 0.53534852  0.37878803 -0.73126094  0.55328923 -0.2767646  -0.65607791
  0.90358826]",0,[ 0.535  0.379 -0.731]
"[ 0.48409345  0.91226092  0.60575391  0.25141889  0.5544446  -0.91079619
 -0.59911382]",0,[0.484 0.912 0.606]
"[ 0.97012188 -0.28950276 -0.77750876  0.88183177  0.58341821 -0.90970568
 -0.10022846]",0,[ 0.97  -0.29  -0.778]
"[-0.00418677 -0.42322983  0.13758633 -0.30874437 -0.26380378 -0.4210808
  0.76824754]",0,[-0.004 -0.423  0.138]
"[-0.6717099  -0.9998592   0.47473762 -0.69524031 -0.28965026 -0.81232675
 -0.54576377]",0,[-0.672 -1.     0.475]
