genome,fitness,behavior_descriptor
[-0.376 -0.661  0.402 -0.189 -0.089  0.824  0.526],0,[-0.376 -0.661  0.402]
"[-0.04180303 -0.90979748  0.09148308  0.20010025 -0.98643516  0.79782829
  0.11083847]",0,[-0.042 -0.91   0.091]
"[-0.94344654 -0.98186361 -0.36097722 -0.92199297 -0.09166883 -0.18591577
 -0.87703112]",0,[-0.943 -0.982 -0.361]
"[ 0.43003355 -0.07044901 -0.38097955  0.0692531   0.94583997  0.23432812
  0.99672209]",0,[ 0.43  -0.07  -0.381]
"[-0.7390362  -0.76308462 -0.01714019  0.39047222  0.71913372 -0.71232999
 -0.68722482]",0,[-0.739 -0.763 -0.017]
"[-0.99084179 -0.52267003 -0.16951847  0.57456066 -0.23679492  0.56186738
  0.54770283]",0,[-0.991 -0.523 -0.17 ]
"[-0.98664661  0.56336379 -0.58298548  0.44899492  0.60102695 -0.26485383
  0.8440578 ]",0,[-0.987  0.563 -0.583]
"[-0.66763454  0.57603835  0.17609881  0.27590613 -0.47203396  0.63075304
 -0.97023154]",0,[-0.668  0.576  0.176]
"[ 0.50878545 -0.79731598  0.36491957  0.83555223  0.98844689  0.06474463
  0.18140939]",0,[ 0.509 -0.797  0.365]
"[-0.90610079  0.48031201  0.1650711  -0.91263136 -0.46440624 -0.74143583
  0.17536009]",0,[-0.906  0.48   0.165]
"[-0.80428489 -0.10789777 -0.04393027 -0.03673671  0.17792905 -0.70206797
 -0.38894256]",0,[-0.804 -0.108 -0.044]
"[-0.91798403  0.74576546  0.93029141  0.26963969 -0.6533211   0.66842323
 -0.71480548]",0,[-0.918  0.746  0.93 ]
"[-0.29629494  0.81788763  0.79375005 -0.40237217  0.1766953   0.75889091
  0.22170461]",0,[-0.296  0.818  0.794]
"[ 0.4163546   0.37190694  0.49611683 -0.4703411   0.91387491  0.59790495
 -0.02189785]",0,[0.416 0.372 0.496]
