genome,fitness,behavior_descriptor
"[-0.37569972 -0.66065625  0.40175993 -0.18508546 -0.0876204   0.82665437
  0.52722213]",1,[-0.376 -0.661  0.402]
"[-0.68781156  0.48285277  0.46564214 -0.76888583 -0.64543019  0.20996439
 -0.65054738]",0,[-0.688  0.483  0.466]
"[ 0.65761511  0.39988545  0.33955193  0.87685468 -0.58931646  0.51029561
  0.75186364]",0,[0.658 0.4   0.34 ]
"[ 0.65858775  0.52311931 -0.23783522  0.93364274 -0.83895197 -0.91701562
  0.67612044]",0,[ 0.659  0.523 -0.238]
"[ 0.54083754  0.08036908 -0.89779191 -0.86143185 -0.6534842   0.88471055
 -0.16137068]",0,[ 0.541  0.08  -0.898]
"[ 0.05101176 -0.97370124 -0.63037764  0.45033288 -0.30947143 -0.10053337
 -0.9614162 ]",0,[ 0.051 -0.974 -0.63 ]
"[-0.60220543  0.81539662  0.78597854 -0.69297568  0.89559963  0.42603319
  0.24560745]",0,[-0.602  0.815  0.786]
"[ 0.69314733 -0.88805679  0.52266489  0.61646485  0.4418615  -0.89045413
 -0.28215688]",0,[ 0.693 -0.888  0.523]
"[ 0.6383732  -0.14677657  0.84984318 -0.53648672  0.46200192 -0.47680758
 -0.18336812]",0,[ 0.638 -0.147  0.85 ]
"[-0.82042803 -0.02636823 -0.54681401 -0.83319302  0.32423124  0.92826811
 -0.28026753]",0,[-0.82  -0.026 -0.547]
"[-0.55040453 -0.97414532  0.58363911 -0.81970455  0.30779872 -0.74555931
 -0.43714237]",0,[-0.55  -0.974  0.584]
"[ 0.28855442 -0.81385885 -0.95630454 -0.81308493  0.0034065  -0.27144482
  0.81374274]",0,[ 0.289 -0.814 -0.956]
"[ 0.6472649   0.24264655 -0.52987382 -0.64539028 -0.87567854 -0.92821254
 -0.23066088]",0,[ 0.647  0.243 -0.53 ]
"[ 0.70402113  0.41403474  0.3756806   0.61636384 -0.47567842 -0.63132506
  0.15710549]",0,[0.704 0.414 0.376]
"[-0.23631885 -0.83151161  0.85843801  0.07580471  0.63537634  0.07417227
  0.49527404]",0,[-0.236 -0.832  0.858]
"[ 0.30213322  0.33733655  0.05810988 -0.77973287 -0.6684979   0.69217486
  0.82377714]",0,[0.302 0.337 0.058]
"[ 0.76543947  0.66403316  0.96404887 -0.78005901  0.4307541  -0.63042716
 -0.34577112]",0,[0.765 0.664 0.964]
"[-0.17985048  0.04959757  0.84747891  0.01302689  0.82245959  0.64883001
  0.25872271]",0,[-0.18   0.05   0.847]
"[ 0.30173985 -0.54616927  0.488761    0.86552866 -0.71672947 -0.85902089
  0.89490821]",0,[ 0.302 -0.546  0.489]
"[-0.57899243 -0.21224801 -0.45640324  0.51720473 -0.98984616  0.60664836
  0.27176917]",0,[-0.579 -0.212 -0.456]
"[-0.12953917  0.8116943   0.36527818  0.27438495  0.97135153 -0.26699034
 -0.7342582 ]",0,[-0.13   0.812  0.365]
"[ 0.70899599  0.02152428  0.75699849  0.37539619 -0.27191452  0.24473213
  0.07830814]",0,[0.709 0.022 0.757]
"[-0.14997066  0.05600185  0.39348668  0.68723261  0.06444332 -0.29488349
 -0.53401091]",0,[-0.15   0.056  0.393]
"[ 0.71385169  0.09794333  0.6420812   0.48719434  0.09041856 -0.43377493
  0.93421781]",0,[0.714 0.098 0.642]
