genome,fitness,behavior_descriptor
[-0.376 -0.661  0.402 -0.189 -0.089  0.824  0.526],0,[-0.376 -0.661  0.402]
"[ 0.78615296 -0.5509819  -0.11022072 -0.36354545  0.0066951  -0.59808278
 -0.79216323]",0,[ 0.786 -0.551 -0.11 ]
"[ 0.58804116 -0.58478969 -0.32105563 -0.1330775  -0.40490296 -0.39775956
 -0.44537284]",0,[ 0.588 -0.585 -0.321]
"[ 0.16443798 -0.46817679 -0.87971758 -0.52018129  0.40621177  0.4411892
  0.17242448]",0,[ 0.164 -0.468 -0.88 ]
"[ 0.27516659  0.32191727  0.02868672  0.03113036  0.16550131 -0.5773644
 -0.93878807]",0,[0.275 0.322 0.029]
"[ 0.4110674   0.3493583  -0.68049683 -0.55427279  0.429349    0.51500779
  0.05412448]",0,[ 0.411  0.349 -0.68 ]
"[ 0.42407916 -0.47745191 -0.9484263  -0.11906019  0.13129814 -0.78516416
 -0.32848685]",0,[ 0.424 -0.477 -0.948]
"[-0.66042772 -0.74106371 -0.67460099  0.92039787 -0.85563542 -0.48444496
  0.83360491]",0,[-0.66  -0.741 -0.675]
"[-0.74641011  0.37105442  0.05333625 -0.60262423  0.06269364  0.82212205
 -0.03055643]",0,[-0.746  0.371  0.053]
"[ 0.18566648 -0.92991661  0.58885384  0.32687952  0.57831927 -0.22375938
  0.50260223]",0,[ 0.186 -0.93   0.589]
"[ 0.22414688  0.44578834  0.67947953  0.63846809 -0.42369604  0.10005282
  0.5611193 ]",0,[0.224 0.446 0.679]
"[-0.5680569   0.23595019  0.7754069  -0.78821058 -0.53989054 -0.76378872
 -0.3501332 ]",0,[-0.568  0.236  0.775]
"[-0.4853903   0.37895603 -0.8476659  -0.43773219  0.5710835   0.98379028
 -0.16362484]",0,[-0.485  0.379 -0.848]
"[-0.17685791 -0.46344631  0.08197743  0.59345961 -0.56801056  0.76823588
 -0.30741451]",0,[-0.177 -0.463  0.082]
"[-0.07629292  0.92437278  0.27528421  0.65773952 -0.0756888   0.57742513
 -0.04698506]",0,[-0.076  0.924  0.275]
"[ 0.43040112  0.6378332   0.30466185 -0.20730343  0.15809833  0.52738485
  0.92366859]",0,[0.43  0.638 0.305]
"[ 0.45175249  0.33804939 -0.510014   -0.61272526 -0.09760238  0.64897013
  0.36836318]",0,[ 0.452  0.338 -0.51 ]
"[ 0.52279653 -0.17376084  0.03426439 -0.90289741  0.35972283 -0.84354234
  0.03459239]",0,[ 0.523 -0.174  0.034]
"[-0.11726298 -0.77151443  0.33134128 -0.5346968   0.30738178  0.11428082
  0.6488627 ]",0,[-0.117 -0.772  0.331]
"[-0.98337458  0.58863829  0.9654342   0.71697123  0.15377606 -0.16994639
  0.05747546]",0,[-0.983  0.589  0.965]
"[ 0.55504481  0.88944079 -0.00820349  0.00970592 -0.26912449  0.15225517
  0.31813646]",0,[ 0.555  0.889 -0.008]
"[ 0.74863116 -0.16449358  0.41205684 -0.50194983 -0.00508949  0.73664314
  0.99033045]",0,[ 0.749 -0.164  0.412]
"[ 0.41916002 -0.75568269  0.86467962 -0.78924711  0.02518445  0.68522817
  0.90858764]",0,[ 0.419 -0.756  0.865]
"[-0.25407447  0.48283061 -0.87348349 -0.52043562 -0.91641196  0.84668399
  0.01367986]",0,[-0.254  0.483 -0.873]
"[ 0.54696817  0.83545353 -0.67108075  0.63408989  0.31311695 -0.87931624
 -0.14691116]",0,[ 0.547  0.835 -0.671]
"[-0.33043347 -0.7193938   0.86846704  0.9422914  -0.82005746  0.09421784
  0.82341522]",0,[-0.33  -0.719  0.868]
"[-0.2222139  -0.02282156 -0.44915261  0.45092178 -0.05955518 -0.41806433
 -0.79000094]",0,[-0.222 -0.023 -0.449]
"[-0.63802008 -0.40671114 -0.996428    0.58852924 -0.89736485  0.95476446
  0.36550355]",0,[-0.638 -0.407 -0.996]
"[-0.8867728  -0.68859094  0.92352849 -0.46419743 -0.30625795 -0.34470503
 -0.11202395]",0,[-0.887 -0.689  0.924]
"[-0.45698603 -0.21212706 -0.04055145  0.65858789  0.16710335  0.75448322
 -0.98697661]",0,[-0.457 -0.212 -0.041]
"[-0.58200649 -0.64167141  0.2016008  -0.49029526 -0.58554528  0.35838829
  0.07339986]",0,[-0.582 -0.642  0.202]
"[-0.27745497  0.73753717  0.88193553 -0.54663517  0.44924309  0.26405707
 -0.60271103]",0,[-0.277  0.738  0.882]
"[ 0.01364811 -0.81618144  0.15397299 -0.51339501 -0.59039981 -0.76216586
 -0.76068964]",0,[ 0.014 -0.816  0.154]
"[ 0.41561384 -0.77463902 -0.51473608 -0.95252559 -0.84746884 -0.29577292
  0.946655  ]",0,[ 0.416 -0.775 -0.515]
"[-0.90173733 -0.93829613 -0.96555157  0.00251778 -0.3016076  -0.52564687
 -0.04593411]",0,[-0.902 -0.938 -0.966]
"[-0.94399893 -0.21670895  0.66319429  0.6996109   0.15186223  0.22951837
 -0.59847971]",0,[-0.944 -0.217  0.663]
"[-0.10152293 -0.23773461  0.01112074 -0.22823198  0.63112769  0.94180026
 -0.17474329]",0,[-0.102 -0.238  0.011]
"[ 0.56558966  0.88998657  0.56686524 -0.54864638 -0.03635492  0.09592866
  0.32406488]",0,[0.566 0.89  0.567]
"[-0.45507308 -0.90941103 -0.5447346  -0.25341664  0.02912632  0.54719314
  0.0302804 ]",0,[-0.455 -0.909 -0.545]
"[-0.5606901   0.1880897  -0.96087073  0.03281492 -0.63005007 -0.67145529
 -0.89712928]",0,[-0.561  0.188 -0.961]
"[ 0.4078963  -0.40927426  0.75557548  0.64478117 -0.46536628  0.18045932
 -0.93070531]",0,[ 0.408 -0.409  0.756]
"[-0.8015077   0.82698893  0.32645102 -0.56961187  0.55828528 -0.86459131
 -0.4683688 ]",0,[-0.802  0.827  0.326]
"[ 0.30624736 -0.03493001  0.67751742  0.28503437  0.40815332  0.49826857
  0.33989191]",0,[ 0.306 -0.035  0.678]
