genome,fitness,behavior_descriptor
[-0.376 -0.661  0.402 -0.189 -0.089  0.824  0.526],0,[-0.376 -0.661  0.402]
"[-0.51885924 -0.55276537 -0.01214598 -0.13458808  0.04512899 -0.63170015
 -0.01617943]",0,[-0.519 -0.553 -0.012]
"[-0.63711797 -0.22819081  0.37418162 -0.31002115  0.62508598  0.47341429
  0.64659726]",0,[-0.637 -0.228  0.374]
"[-0.82964365 -0.04377772 -0.16817319  0.06999872  0.80733038 -0.02910686
 -0.84009494]",0,[-0.83  -0.044 -0.168]
"[-0.30542134 -0.9679666   0.87904659  0.79225593  0.38583628  0.33949723
 -0.04241352]",0,[-0.305 -0.968  0.879]
"[-0.79376919  0.54590995  0.3184755   0.77475025  0.51045135 -0.46030055
 -0.12842277]",0,[-0.794  0.546  0.318]
"[-0.04688954 -0.06995705  0.31589568 -0.86300226 -0.36722464  0.45176049
 -0.93933503]",0,[-0.047 -0.07   0.316]
"[-0.41632605 -0.60499764  0.59448187 -0.99735263 -0.036743   -0.44080927
 -0.22912715]",0,[-0.416 -0.605  0.594]
"[-0.44465813  0.82455027  0.49038001  0.87427002 -0.12935414 -0.07905351
 -0.45762664]",0,[-0.445  0.825  0.49 ]
"[-0.51649682 -0.29830055 -0.67361307  0.19952886 -0.75494526 -0.51040549
 -0.23056099]",0,[-0.516 -0.298 -0.674]
"[-0.09297703  0.56951096  0.76080428  0.26793672  0.2999306  -0.55981575
  0.26603871]",0,[-0.093  0.57   0.761]
"[-0.14792677  0.10750617  0.15071272 -0.51235888 -0.86882241  0.40330917
 -0.83988708]",0,[-0.148  0.108  0.151]
"[ 0.87209519  0.6269683   0.3041208  -0.10378995 -0.10385834 -0.6201187
 -0.63520763]",0,[0.872 0.627 0.304]
"[ 0.1690678   0.6972451   0.79843006  0.13269187  0.74786451  0.49630349
 -0.50560985]",0,[0.169 0.697 0.798]
"[ 0.81586864  0.41953944  0.81434198 -0.26083955 -0.01513827 -0.81682825
 -0.64090146]",0,[0.816 0.42  0.814]
"[ 0.06641816  0.32061475 -0.17371894 -0.30203816 -0.10877176  0.24490891
  0.77584126]",1,[ 0.066  0.321 -0.174]
"[-0.674422   -0.75410348  0.3239087   0.3724232  -0.70417296 -0.06888686
 -0.01768254]",0,[-0.674 -0.754  0.324]
"[-0.27979348 -0.66906245  0.60426306 -0.76769677  0.57306056  0.18123141
 -0.50670639]",0,[-0.28  -0.669  0.604]
"[-0.60588741  0.43144083 -0.79455936 -0.63297483  0.69528326 -0.68198039
  0.20256163]",0,[-0.606  0.431 -0.795]
"[ 0.31130318 -0.75331358 -0.77419535  0.24713239  0.42113826 -0.32422702
 -0.06947991]",0,[ 0.311 -0.753 -0.774]
"[ 4.73907888e-01 -8.42122639e-04  9.29455793e-01 -8.35393691e-01
 -1.67798683e-01 -3.42991540e-01  1.01345181e-01]",0,[ 0.474 -0.001  0.929]
"[-0.55362287 -0.89550497 -0.36384704  0.84810403 -0.96860981  0.43713291
  0.88455134]",0,[-0.554 -0.896 -0.364]
"[-0.60395367 -0.40755854 -0.74966503 -0.79051313 -0.73144898  0.72321022
 -0.87955638]",0,[-0.604 -0.408 -0.75 ]
"[ 0.03179779  0.29656872 -0.78528688 -0.20667615 -0.38595272  0.73318381
  0.38062497]",0,[ 0.032  0.297 -0.785]
"[-0.35908851 -0.36006782  0.28576464 -0.34178687 -0.06146693 -0.59642561
  0.54183091]",0,[-0.359 -0.36   0.286]
"[ 0.51783057  0.63237599 -0.82709203 -0.92118295 -0.61475301  0.89742416
  0.16964902]",0,[ 0.518  0.632 -0.827]
"[ 0.90737986  0.44834946 -0.06912627  0.07899971  0.88538348  0.73204541
 -0.62392432]",0,[ 0.907  0.448 -0.069]
"[ 0.51683848  0.96921705 -0.68838767  0.96858851  0.65948194 -0.65773171
  0.40386135]",0,[ 0.517  0.969 -0.688]
"[ 0.44836341 -0.83169218 -0.17202099 -0.42370463 -0.36579733  0.04171147
 -0.36502272]",0,[ 0.448 -0.832 -0.172]
"[-0.65408856 -0.91702046 -0.26144309 -0.49069236 -0.8855508   0.96965652
 -0.39483165]",0,[-0.654 -0.917 -0.261]
"[ 0.85373455 -0.51521504 -0.76886029 -0.45278868  0.72683036 -0.60736459
 -0.5242488 ]",0,[ 0.854 -0.515 -0.769]
"[ 0.33494572 -0.40242646  0.1850119  -0.15046271 -0.94499403  0.87925899
 -0.21629117]",0,[ 0.335 -0.402  0.185]
"[-0.04240321  0.16882803 -0.63205923 -0.20799912  0.29551766  0.72727365
  0.93004153]",0,[-0.042  0.169 -0.632]
"[ 0.28310285 -0.26151005  0.66392621  0.86470289 -0.5418513  -0.54530775
  0.76073679]",0,[ 0.283 -0.262  0.664]
"[-0.74551877  0.31189263  0.01602396  0.66718175 -0.31606258 -0.82534616
  0.61152174]",0,[-0.746  0.312  0.016]
"[ 0.76192061 -0.97777534 -0.77046419  0.15090556  0.51573828  0.65242409
  0.80407763]",0,[ 0.762 -0.978 -0.77 ]
"[ 0.11055357  0.87091626 -0.24486928  0.3184111   0.9479673  -0.30955142
 -0.45231207]",0,[ 0.111  0.871 -0.245]
"[ 0.74965373  0.29134981  0.0242186  -0.79539382  0.24223747 -0.29462028
  0.87717143]",0,[0.75  0.291 0.024]
"[-0.18216536  0.83425633 -0.20872884  0.48524746  0.52113495 -0.35825197
 -0.14135743]",0,[-0.182  0.834 -0.209]
"[0.29993445 0.06500656 0.73254447 0.46110543 0.38069404 0.4874352
 0.56190022]",0,[0.3   0.065 0.733]
"[-0.00138487 -0.77408184 -0.45788312  0.76702446  0.89172939 -0.72488665
 -0.21518354]",0,[-0.001 -0.774 -0.458]
"[ 0.59729572  0.72779149  0.49045322 -0.66875089  0.58584237  0.16916737
 -0.16471368]",0,[0.597 0.728 0.49 ]
"[ 0.39439211  0.99539426 -0.34990671 -0.29853507  0.51519084  0.43329169
 -0.06128229]",0,[ 0.394  0.995 -0.35 ]
"[-0.98749114 -0.87121922 -0.13338089  0.89895366  0.19726226 -0.83149183
  0.16537193]",0,[-0.987 -0.871 -0.133]
"[ 0.48584093 -0.69008981 -0.27791321 -0.92234401  0.79144261 -0.74410217
  0.75641559]",0,[ 0.486 -0.69  -0.278]
"[-0.91434566  0.95910692 -0.81376989 -0.78638811 -0.31128736 -0.34431286
 -0.57194652]",0,[-0.914  0.959 -0.814]
"[ 0.42836625  0.13757256  0.04560514 -0.4265043   0.53301723 -0.46414052
 -0.32685314]",0,[0.428 0.138 0.046]
"[-0.51942741  0.92843189  0.06276723 -0.28833194 -0.74580829  0.81995316
  0.53968054]",0,[-0.519  0.928  0.063]
"[ 0.00499987 -0.3477178  -0.50469559  0.52320798  0.05198317  0.63191756
 -0.43180196]",0,[ 0.005 -0.348 -0.505]
"[ 0.73183458  0.20437385 -0.90212158 -0.62365521  0.05741028 -0.32432194
 -0.98942363]",0,[ 0.732  0.204 -0.902]
"[ 0.97796844 -0.68947329  0.1535799   0.17974037 -0.0350588   0.22742538
 -0.08551947]",0,[ 0.978 -0.689  0.154]
"[ 0.01121537  0.40887539  0.71743616 -0.17377994  0.25766014  0.94898368
  0.836188  ]",0,[0.011 0.409 0.717]
"[ 0.76769064  0.52854891 -0.523495    0.06224531  0.76218689  0.49020736
  0.1603724 ]",0,[ 0.768  0.529 -0.523]
